,paragraph,class_id,ttr,hapax_rate,adj_noun_ratio,average_depth,em_dash_density,semicolon_density,exclamation_density,other_punctuations_density,flesch_kincaid_grade_level
19,"Bessie invited him to walk into the breakfast-room, and led the way out. In the interview which followed between him and Mrs. Reed, I presume, from after-occurrences, that the apothecary ventured to recommend my being sent to school; and the recommendation was no doubt readily enough adopted; for as Abbot said, in discussing the subject with Bessie when both sat sewing in the nursery one night, after I was in bed, and, as they thought, asleep, “Missis was, she dared say, glad enough to get rid of such a tiresome, ill-conditioned child, who always looked as if she were watching everybody, and scheming plots underhand.” Abbot, I think, gave me credit for being a sort of infantine Guy Fawkes.",1,0.7355371900826446,0.5950413223140496,0.16666666666666666,6.666666666666667,0.0,0.013422818791946308,0.0,0.16778523489932887,16.328429752066118
20,"On that same occasion I learned, for the first time, from Miss Abbot’s communications to Bessie, that my father had been a poor clergyman; that my mother had married him against the wishes of her friends, who considered the match beneath her; that my grandfather Reed was so irritated at her disobedience, he cut her off without a shilling; that after my mother and father had been married a year, the latter caught the typhus fever while visiting among the poor of a large manufacturing town where his curacy was situated, and where that disease was then prevalent: that my mother took the infection from him, and both died within a month of each other.",1,0.6521739130434783,0.5043478260869565,0.391304347826087,9.0,0.0,0.023255813953488372,0.0,0.07751937984496124,46.087826086956525
21,"From my discourse with Mr. Lloyd, and from the above reported conference between Bessie and Abbot, I gathered enough of hope to suffice as a motive for wishing to get well: a change seemed near,—I desired and waited it in silence. It tarried, however: days and weeks passed: I had regained my normal state of health, but no new allusion was made to the subject over which I brooded. Mrs. Reed surveyed me at times with a severe eye, but seldom addressed me: since my illness, she had drawn a more marked line of separation than ever between me and her own children; appointing me a small closet to sleep in by myself, condemning me to take my meals alone, and pass all my time in the nursery, while my cousins were constantly in the drawing-room. Not a hint, however, did she drop about sending me to school: still I felt an instinctive certainty that she would not long endure me under the same roof with her; for her glance, now more than ever, when turned on me, expressed an insuperable and rooted aversion.",1,0.6813186813186813,0.5494505494505495,0.41935483870967744,8.25,0.0,0.009478672985781991,0.0,0.11374407582938388,17.90994505494506
22,"Eliza and Georgiana, evidently acting according to orders, spoke to me as little as possible: John thrust his tongue in his cheek whenever he saw me, and once attempted chastisement; but as I instantly turned against him, roused by the same sentiment of deep ire and desperate revolt which had stirred my corruption before, he thought it better to desist, and ran from me uttering execrations, and vowing I had burst his nose. I had indeed levelled at that prominent feature as hard a blow as my knuckles could inflict; and when I saw that either that or my look daunted him, I had the greatest inclination to follow up my advantage to purpose; but he was already with his mama. I heard him in a blubbering tone commence the tale of how “that nasty Jane Eyre” had flown at him like a mad cat: he was stopped rather harshly—",1,0.6733333333333333,0.5466666666666666,0.6,7.333333333333333,0.005952380952380952,0.017857142857142856,0.0,0.08333333333333333,20.27266666666667
23,"Georgiana sat on a high stool, dressing her hair at the glass, and interweaving her curls with artificial flowers and faded feathers, of which she had found a store in a drawer in the attic. I was making my bed, having received strict orders from Bessie to get it arranged before she returned (for Bessie now frequently employed me as a sort of under-nurserymaid, to tidy the room, dust the chairs, &c.). Having spread the quilt and folded my night-dress, I went to the window-seat to put in order some picture-books and doll’s house furniture scattered there; an abrupt command from Georgiana to let her playthings alone (for the tiny chairs and mirrors, the fairy plates and cups, were her property) stopped my proceedings; and then, for lack of other occupation, I fell to breathing on the frost-flowers with which the window was fretted, and thus clearing a space in the glass through which I might look out on the grounds, where all was still and petrified under the influence of a hard frost.",1,0.6404494382022472,0.5,0.15555555555555556,11.0,0.0,0.009569377990430622,0.0,0.1291866028708134,23.062359550561798
24,"From this window were visible the porter’s lodge and the carriage-road, and just as I had dissolved so much of the silver-white foliage veiling the panes as left room to look out, I saw the gates thrown open and a carriage roll through. I watched it ascending the drive with indifference; carriages often came to Gateshead, but none ever brought visitors in whom I was interested; it stopped in front of the house, the door-bell rang loudly, the new-comer was admitted. All this being nothing to me, my vacant attention soon found livelier attraction in the spectacle of a little hungry robin, which came and chirruped on the twigs of the leafless cherry-tree nailed against the wall near the casement. The remains of my breakfast of bread and milk stood on the table, and having crumbled a morsel of roll, I was tugging at the sash to put out the crumbs on the window-sill, when Bessie came running upstairs into the nursery.",1,0.6726190476190477,0.5654761904761905,0.30952380952380953,8.75,0.0,0.010471204188481676,0.0,0.10471204188481675,16.312619047619048
25,"“Who could want me?” I asked inwardly, as with both hands I turned the stiff door-handle, which, for a second or two, resisted my efforts. “What should I see besides Aunt Reed in the apartment?—a man or a woman?” The handle turned, the door unclosed, and passing through and curtseying low, I looked up at—a black pillar!—such, at least, appeared to me, at first sight, the straight, narrow, sable-clad shape standing erect on the rug: the grim face at the top was like a carved mask, placed above the shaft by way of capital.",1,0.7578947368421053,0.6526315789473685,0.5714285714285714,5.0,0.008130081300813009,0.0,0.0,0.2032520325203252,7.8325
26,"“Mr. Brocklehurst, I believe I intimated in the letter which I wrote to you three weeks ago, that this little girl has not quite the character and disposition I could wish: should you admit her into Lowood school, I should be glad if the superintendent and teachers were requested to keep a strict eye on her, and, above all, to guard against her worst fault, a tendency to deceit. I mention this in your hearing, Jane, that you may not attempt to impose on Mr. Brocklehurst.”",1,0.7023809523809523,0.5357142857142857,0.3333333333333333,6.0,0.0,0.0,0.0,0.14,16.944761904761908
27,"Well might I dread, well might I dislike Mrs. Reed; for it was her nature to wound me cruelly; never was I happy in her presence; however carefully I obeyed, however strenuously I strove to please her, my efforts were still repulsed and repaid by such sentences as the above. Now, uttered before a stranger, the accusation cut me to the heart; I dimly perceived that she was already obliterating hope from the new phase of existence which she destined me to enter; I felt, though I could not have expressed the feeling, that she was sowing aversion and unkindness along my future path; I saw myself transformed under Mr. Brocklehurst’s eye into an artful, noxious child, and what could I do to remedy the injury?",1,0.717741935483871,0.6048387096774194,0.5,8.0,0.0,0.041666666666666664,0.0,0.0763888888888889,25.433548387096774
28,"“Your decisions are perfectly judicious, madam,” returned Mr. Brocklehurst. “Humility is a Christian grace, and one peculiarly appropriate to the pupils of Lowood; I, therefore, direct that especial care shall be bestowed on its cultivation amongst them. I have studied how best to mortify in them the worldly sentiment of pride; and, only the other day, I had a pleasing proof of my success. My second daughter, Augusta, went with her mama to visit the school, and on her return she exclaimed: ‘Oh, dear papa, how quiet and plain all the girls at Lowood look, with their hair combed behind their ears, and their long pinafores, and those little holland pockets outside their frocks—they are almost like poor people’s children! and,’ said she, ‘they looked at my dress and mama’s, as if they had never seen a silk gown before.’”",1,0.7357142857142858,0.5928571428571429,0.4666666666666667,5.6,0.0056179775280898875,0.011235955056179775,0.0056179775280898875,0.17415730337078653,12.01857142857143
29,"Mrs. Reed and I were left alone: some minutes passed in silence; she was sewing, I was watching her. Mrs. Reed might be at that time some six or seven and thirty; she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese: she had a somewhat large face, the under jaw being much developed and very solid; her brow was low, her chin large and prominent, mouth and nose sufficiently regular; under her light eyebrows glimmered an eye devoid of ruth; her skin was dark and opaque, her hair nearly flaxen; her constitution was sound as a bell—illness never came near her; she was an exact, clever manager; her household and tenantry were thoroughly under her control; her children only at times defied her authority and laughed it to scorn; she dressed well, and had a presence and port calculated to set off handsome attire.",1,0.6862745098039216,0.5751633986928104,0.6333333333333333,8.0,0.005434782608695652,0.05434782608695652,0.0,0.09782608695652174,30.132581699346407
30,"Sitting on a low stool, a few yards from her arm-chair, I examined her figure; I perused her features. In my hand I held the tract containing the sudden death of the Liar, to which narrative my attention had been pointed as to an appropriate warning. What had just passed; what Mrs. Reed had said concerning me to Mr. Brocklehurst; the whole tenor of their conversation, was recent, raw, and stinging in my mind; I had felt every word as acutely as I had heard it plainly, and a passion of resentment fomented now within me.",1,0.7157894736842105,0.5789473684210527,0.4117647058823529,6.333333333333333,0.0,0.03571428571428571,0.0,0.09821428571428571,13.031578947368423
31,"“How dare I, Mrs. Reed? How dare I? Because it is the _truth_. You think I have no feelings, and that I can do without one bit of love or kindness; but I cannot live so: and you have no pity. I shall remember how you thrust me back—roughly and violently thrust me back—into the red-room, and locked me up there, to my dying day; though I was in agony; though I cried out, while suffocating with distress, ‘Have mercy! Have mercy, Aunt Reed!’ And that punishment you made me suffer because your wicked boy struck me—knocked me down for nothing. I will tell anybody who asks me questions, this exact tale. People think you a good woman, but you are bad, hard-hearted. _You_ are deceitful!”",1,0.6717557251908397,0.5190839694656488,0.35,2.727272727272727,0.01775147928994083,0.01775147928994083,0.01775147928994083,0.16568047337278108,3.646911866759197
32,"Ere I had finished this reply, my soul began to expand, to exult, with the strangest sense of freedom, of triumph, I ever felt. It seemed as if an invisible bond had burst, and that I had struggled out into unhoped-for liberty. Not without cause was this sentiment: Mrs. Reed looked frightened; her work had slipped from her knee; she was lifting up her hands, rocking herself to and fro, and even twisting her face as if she would cry.",1,0.775,0.6375,0.3076923076923077,5.333333333333333,0.0,0.020833333333333332,0.0,0.13541666666666666,10.150000000000002
33,"I was left there alone—winner of the field. It was the hardest battle I had fought, and the first victory I had gained: I stood awhile on the rug, where Mr. Brocklehurst had stood, and I enjoyed my conqueror’s solitude. First, I smiled to myself and felt elate; but this fierce pleasure subsided in me as fast as did the accelerated throb of my pulses. A child cannot quarrel with its elders, as I had done; cannot give its furious feelings uncontrolled play, as I had given mine, without experiencing afterwards the pang of remorse and the chill of reaction. A ridge of lighted heath, alive, glancing, devouring, would have been a meet emblem of my mind when I accused and menaced Mrs. Reed: the same ridge, black and blasted after the flames are dead, would have represented as meetly my subsequent condition, when half-an-hour’s silence and reflection had shown me the madness of my conduct, and the dreariness of my hated and hating position.",1,0.6428571428571429,0.5297619047619048,0.53125,6.2,0.005025125628140704,0.010050251256281407,0.0,0.12060301507537688,13.879476190476193
34,"I would fain exercise some better faculty than that of fierce speaking; fain find nourishment for some less fiendish feeling than that of sombre indignation. I took a book—some Arabian tales; I sat down and endeavoured to read. I could make no sense of the subject; my own thoughts swam always between me and the page I had usually found fascinating. I opened the glass-door in the breakfast-room: the shrubbery was quite still: the black frost reigned, unbroken by sun or breeze, through the grounds. I covered my head and arms with the skirt of my frock, and went out to walk in a part of the plantation which was quite sequestrated; but I found no pleasure in the silent trees, the falling fir-cones, the congealed relics of autumn, russet leaves, swept by past winds in heaps, and now stiffened together. I leaned against a gate, and looked into an empty field where no sheep were feeding, where the short grass was nipped and blanched. It was a very grey day; a most opaque sky, “onding on snaw,” canopied all; thence flakes fell at intervals, which settled on the hard path and on the hoary lea without melting. I stood, a wretched child enough, whispering to myself over and over again, “What shall I do?—what shall I do?”",1,0.6877828054298643,0.5882352941176471,0.3333333333333333,5.875,0.003816793893129771,0.022900763358778626,0.0,0.12595419847328243,9.973795248868779
35,"“Child! what do you mean? What sorrowful eyes you fix on me! Well, but Missis and the young ladies and Master John are going out to tea this afternoon, and you shall have tea with me. I’ll ask cook to bake you a little cake, and then you shall help me to look over your drawers; for I am soon to pack your trunk. Missis intends you to leave Gateshead in a day or two, and you shall choose what toys you like to take with you.”",1,0.6666666666666666,0.5287356321839081,0.23076923076923078,3.1666666666666665,0.0,0.009900990099009901,0.019801980198019802,0.09900990099009901,3.356954022988507
36,"Five o’clock had hardly struck on the morning of the 19th of January, when Bessie brought a candle into my closet and found me already up and nearly dressed. I had risen half-an-hour before her entrance, and had washed my face, and put on my clothes by the light of a half-moon just setting, whose rays streamed through the narrow window near my crib. I was to leave Gateshead that day by a coach which passed the lodge gates at six A.M. Bessie was the only person yet risen; she had lit a fire in the nursery, where she now proceeded to make my breakfast. Few children can eat when excited with the thoughts of a journey; nor could I. Bessie, having pressed me in vain to take a few spoonfuls of the boiled milk and bread she had prepared for me, wrapped up some biscuits in a paper and put them into my bag; then she helped me on with my pelisse and bonnet, and wrapping herself in a shawl, she and I left the nursery. As we passed Mrs. Reed’s bedroom, she said, “Will you go in and bid Missis good-bye?”",1,0.6302083333333334,0.5,0.3055555555555556,8.8,0.0,0.013452914798206279,0.0,0.09865470852017937,13.398500000000002
37,"The moon was set, and it was very dark; Bessie carried a lantern, whose light glanced on wet steps and gravel road sodden by a recent thaw. Raw and chill was the winter morning: my teeth chattered as I hastened down the drive. There was a light in the porter’s lodge: when we reached it, we found the porter’s wife just kindling her fire: my trunk, which had been carried down the evening before, stood corded at the door. It wanted but a few minutes of six, and shortly after that hour had struck, the distant roll of wheels announced the coming coach; I went to the door and watched its lamps approach rapidly through the gloom.",1,0.7264957264957265,0.5982905982905983,0.25,5.0,0.0,0.014814814814814815,0.0,0.1037037037037037,9.735448717948717
38,"I remember but little of the journey; I only know that the day seemed to me of a preternatural length, and that we appeared to travel over hundreds of miles of road. We passed through several towns, and in one, a very large one, the coach stopped; the horses were taken out, and the passengers alighted to dine. I was carried into an inn, where the guard wanted me to have some dinner; but, as I had no appetite, he left me in an immense room with a fireplace at each end, a chandelier pendent from the ceiling, and a little red gallery high up against the wall filled with musical instruments. Here I walked about for a long time, feeling very strange, and mortally apprehensive of some one coming in and kidnapping me; for I believed in kidnappers, their exploits having frequently figured in Bessie’s fireside chronicles. At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——.",1,0.6574585635359116,0.5193370165745856,0.4,7.0,0.0,0.023809523809523808,0.0,0.10476190476190476,14.304795580110497
39,"I was stiff with long sitting, and bewildered with the noise and motion of the coach: gathering my faculties, I looked about me. Rain, wind, and darkness filled the air; nevertheless, I dimly discerned a wall before me and a door open in it; through this door I passed with my new guide: she shut and locked it behind her. There was now visible a house or houses—for the building spread far—with many windows, and lights burning in some; we went up a broad pebbly path, splashing wet, and were admitted at a door; then the servant led me through a passage into a room with a fire, where she left me alone.",1,0.6956521739130435,0.5826086956521739,0.3333333333333333,7.0,0.014814814814814815,0.02962962962962963,0.0,0.1037037037037037,14.135652173913048
40,"I stood and warmed my numbed fingers over the blaze, then I looked round; there was no candle, but the uncertain light from the hearth showed, by intervals, papered walls, carpet, curtains, shining mahogany furniture: it was a parlour, not so spacious or splendid as the drawing-room at Gateshead, but comfortable enough. I was puzzling to make out the subject of a picture on the wall, when the door opened, and an individual carrying a light entered; another followed close behind.",1,0.8170731707317073,0.7317073170731707,0.3157894736842105,9.0,0.0,0.020202020202020204,0.0,0.15151515151515152,16.94878048780488
41,"The tall girls went out and returned presently, each bearing a tray, with portions of something, I knew not what, arranged thereon, and a pitcher of water and mug in the middle of each tray. The portions were handed round; those who liked took a draught of the water, the mug being common to all. When it came to my turn, I drank, for I was thirsty, but did not touch the food, excitement and fatigue rendering me incapable of eating: I now saw, however, that it was a thin oaten cake shared into fragments.",1,0.7157894736842105,0.5684210526315789,0.25,6.333333333333333,0.0,0.008928571428571428,0.0,0.14285714285714285,12.037894736842109
42,"The meal over, prayers were read by Miss Miller, and the classes filed off, two and two, upstairs. Overpowered by this time with weariness, I scarcely noticed what sort of a place the bedroom was, except that, like the schoolroom, I saw it was very long. To-night I was to be Miss Miller’s bed-fellow; she helped me to undress: when laid down I glanced at the long rows of beds, each of which was quickly filled with two occupants; in ten minutes the single light was extinguished, and amidst silence and complete darkness I fell asleep.",1,0.7244897959183674,0.6020408163265306,0.3157894736842105,5.0,0.0,0.017094017094017096,0.0,0.13675213675213677,11.598979591836734
43,"The night passed rapidly: I was too tired even to dream; I only once awoke to hear the wind rave in furious gusts, and the rain fall in torrents, and to be sensible that Miss Miller had taken her place by my side. When I again unclosed my eyes, a loud bell was ringing; the girls were up and dressing; day had not yet begun to dawn, and a rushlight or two burned in the room. I too rose reluctantly; it was bitter cold, and I dressed as well as I could for shivering, and washed when there was a basin at liberty, which did not occur soon, as there was but one basin to six girls, on the stands down the middle of the room. Again the bell rang: all formed in file, two and two, and in that order descended the stairs and entered the cold and dimly lit schoolroom: here prayers were read by Miss Miller; afterwards she called out—",1,0.6380368098159509,0.4785276073619632,0.20689655172413793,7.25,0.005376344086021506,0.026881720430107527,0.0,0.0913978494623656,14.346671779141108
